ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-37.8136,144.9631,0,0,-1,VIC,Cloud Data Center
1,-37.8133123,144.9517062,1,1,0,VIC,Block 1 Proxy
17,-37.8152304,144.9526737,1,2,1,VIC,Block 1 Gateway
18,-37.8162898,144.9531351,1,2,1,VIC,Block 1 Gateway
19,-37.8172391,144.9535964,1,2,1,VIC,Block 1 Gateway
20,-37.8182731,144.954047,1,2,1,VIC,Block 1 Gateway
21,-37.8191545,144.9544547,1,2,1,VIC,Block 1 Gateway
22,-37.8202732,144.9550126,1,2,1,VIC,Block 1 Gateway
23,-37.8143443,144.9522282,1,2,1,VIC,Block 1 Gateway
2,-37.8135326,144.9540557,1,2,1,VIC,Block 1 Gateway
24,-37.8143951,144.9544813,1,2,1,VIC,Block 1 Gateway
25,-37.8154292,144.9549319,1,2,1,VIC,Block 1 Gateway
26,-37.8164293,144.9553825,1,2,1,VIC,Block 1 Gateway
27,-37.8173786,144.9558546,1,2,1,VIC,Block 1 Gateway
28,-37.81826,144.9562837,1,2,1,VIC,Block 1 Gateway
29,-37.8194188,144.9566893,1,2,1,VIC,Block 1 Gateway
30,-37.8202155,144.9571614,1,2,1,VIC,Block 1 Gateway
3,-37.8125982,144.9542667,1,2,1,VIC,Block 1 Gateway
31,-37.8136323,144.9547817,1,2,1,VIC,Block 1 Gateway
32,-37.8147172,144.9552538,1,2,1,VIC,Block 1 Gateway
33,-37.8154122,144.9555971,1,2,1,VIC,Block 1 Gateway
34,-37.8163954,144.9561121,1,2,1,VIC,Block 1 Gateway
35,-37.8173786,144.9564768,1,2,1,VIC,Block 1 Gateway
36,-37.8185143,144.9570133,1,2,1,VIC,Block 1 Gateway
37,-37.8193618,144.9573781,1,2,1,VIC,Block 1 Gateway
4,-37.8127169,144.956627,1,2,1,VIC,Block 1 Gateway
38,-37.8135757,144.9570347,1,2,1,VIC,Block 1 Gateway
39,-37.8146437,144.9575068,1,2,1,VIC,Block 1 Gateway
40,-37.8156438,144.9579789,1,2,1,VIC,Block 1 Gateway
41,-37.8165761,144.9584295,1,2,1,VIC,Block 1 Gateway
42,-37.8175084,144.9588372,1,2,1,VIC,Block 1 Gateway
43,-37.8186272,144.9592449,1,2,1,VIC,Block 1 Gateway
44,-37.8195167,144.9595882,1,2,1,VIC,Block 1 Gateway
5,-37.811971,144.9566485,1,2,1,VIC,Block 1 Gateway
45,-37.8128864,144.9571849,1,2,1,VIC,Block 1 Gateway
46,-37.8139035,144.9575926,1,2,1,VIC,Block 1 Gateway
47,-37.8148698,144.9580433,1,2,1,VIC,Block 1 Gateway
48,-37.8157343,144.9585153,1,2,1,VIC,Block 1 Gateway
49,-37.8166666,144.9589016,1,2,1,VIC,Block 1 Gateway
50,-37.8177345,144.9594809,1,2,1,VIC,Block 1 Gateway
51,-37.8187177,144.9598242,1,2,1,VIC,Block 1 Gateway
6,-37.811988,144.9590303,1,2,1,VIC,Block 1 Gateway
52,-37.8128807,144.9595668,1,2,1,VIC,Block 1 Gateway
53,-37.8139317,144.9601246,1,2,1,VIC,Block 1 Gateway
54,-37.8149488,144.9604894,1,2,1,VIC,Block 1 Gateway
55,-37.8158981,144.9608971,1,2,1,VIC,Block 1 Gateway
56,-37.8167795,144.9613263,1,2,1,VIC,Block 1 Gateway
57,-37.8178386,144.9618842,1,2,1,VIC,Block 1 Gateway
58,-37.8187879,144.9622275,1,2,1,VIC,Block 1 Gateway
7,-37.8112421,144.9591161,1,2,1,VIC,Block 1 Gateway
59,-37.8120388,144.9595453,1,2,1,VIC,Block 1 Gateway
60,-37.8131577,144.9601246,1,2,1,VIC,Block 1 Gateway
61,-37.8140222,144.9605323,1,2,1,VIC,Block 1 Gateway
62,-37.8150054,144.9609615,1,2,1,VIC,Block 1 Gateway
63,-37.8160055,144.9614336,1,2,1,VIC,Block 1 Gateway
64,-37.8171073,144.9619056,1,2,1,VIC,Block 1 Gateway
65,-37.8180227,144.9623777,1,2,1,VIC,Block 1 Gateway
8,-37.8112929,144.9614979,1,2,1,VIC,Block 1 Gateway
66,-37.8121517,144.96197,1,2,1,VIC,Block 1 Gateway
67,-37.8132536,144.9625279,1,2,1,VIC,Block 1 Gateway
68,-37.8142199,144.9628927,1,2,1,VIC,Block 1 Gateway
69,-37.8151692,144.9633648,1,2,1,VIC,Block 1 Gateway
70,-37.8160676,144.9637295,1,2,1,VIC,Block 1 Gateway
71,-37.8171945,144.9642231,1,2,1,VIC,Block 1 Gateway
72,-37.8180251,144.9646737,1,2,1,VIC,Block 1 Gateway
9,-37.8105301,144.9616052,1,2,1,VIC,Block 1 Gateway
73,-37.8113607,144.9621202,1,2,1,VIC,Block 1 Gateway
74,-37.8124965,144.9626137,1,2,1,VIC,Block 1 Gateway
75,-37.813378,144.963,1,2,1,VIC,Block 1 Gateway
76,-37.8143104,144.9634506,1,2,1,VIC,Block 1 Gateway
77,-37.8153614,144.9639012,1,2,1,VIC,Block 1 Gateway
