ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-27.6007311,-48.51867,0,0,-1,VIC,cloud
7,-27.6006635,-48.5186908,1,2,2,VIC,gateway
18,-27.6005045,-48.518554,4,2,2,VIC,gateway
19,-27.6005542,-48.5186237,4,2,4,VIC,gateway
21,-27.6004556,-48.5185127,4,2,4,VIC,gateway
17,-27.6004854,-48.5186324,4,2,4,VIC,gateway
15,-27.6006263,-48.5187129,1,2,1,VIC,gateway
4,-27.6004514,-48.518562,4,1,0,VIC,proxy
11,-27.6006994,-48.5186666,1,2,1,VIC,gateway
2,-27.6006346,-48.5186512,1,2,1,VIC,gateway
6,-27.6004736,-48.5185808,4,2,2,VIC,gateway
8,-27.60041,-48.5186009,4,2,4,VIC,gateway
20,-27.6007186,-48.5187659,1,2,1,VIC,gateway
1,-27.6006946,-48.5187042,1,1,0,VIC,proxy
14,-27.6006043,-48.5186358,1,2,1,VIC,gateway
