ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-27.6007311,-48.51867,0,0,-1,VIC,cloud
1,-27.6006946,-48.5187042,1,1,0,VIC,proxy
2,-27.6006346,-48.5186512,2,1,0,VIC,proxy
3,-27.6005187,-48.5186022,3,1,0,VIC,proxy
4,-27.6004514,-48.518562,4,1,0,VIC,proxy
5,-27.6007202,-48.5187216,1,2,1,VIC,gateway
6,-27.6004736,-48.5185808,3,2,3,VIC,gateway
7,-27.6006635,-48.5186908,2,2,2,VIC,gateway
8,-27.60041,-48.5186009,4,2,4,VIC,gateway
9,-27.6004539,-48.5186022,4,2,4,VIC,gateway
10,-27.6006673,-48.5187384,1,2,1,VIC,gateway
11,-27.6006994,-48.5186666,1,2,1,VIC,gateway
12,-27.6004789,-48.5185506,4,2,4,VIC,gateway
13,-27.6005954,-48.5186961,2,2,2,VIC,gateway
14,-27.6006043,-48.5186358,2,2,2,VIC,gateway
15,-27.6006263,-48.5187129,2,2,2,VIC,gateway
17,-27.6004854,-48.5186324,3,2,3,VIC,gateway
18,-27.6005045,-48.518554,3,2,3,VIC,gateway
19,-27.6005542,-48.5186237,3,2,3,VIC,gateway
20,-27.6007186,-48.5187659,1,2,1,VIC,gateway
21,-27.6004556,-48.5185127,4,2,4,VIC,gateway
