ID,Latitude,Longitude,Block,Level,Parent,State,Details
0,-37.8136,144.9631,0,0,-1,VIC,DataCenter
1,-37.813946,144.954633,1,2,1,VIC,New GWs
2,-37.816762,144.955915,1,2,1,VIC,New GWs
3,-37.818903,144.95694,1,2,1,VIC,New GWs
4,-37.812591,144.959656,1,2,1,VIC,New GWs
5,-37.815423,144.960901,1,2,1,VIC,New GWs
6,-37.817443,144.961784,1,2,1,VIC,New GWs
7,-37.811136,144.964557,1,2,1,VIC,New GWs
8,-37.813741,144.965706,1,2,1,VIC,New GWs
9,-37.815953,144.96675,1,2,1,VIC,New GWs
10,-37.809728,144.969459,1,2,1,VIC,New GWs
11,-37.812124,144.970587,1,2,1,VIC,New GWs
12,-37.814584,144.971705,1,2,1,VIC,New GWs
13,-37.81517,144.97476,1,2,1,VIC,Spring and Flinders ucell Optus North West corner Spring and Flinders St MELBOURNE
14,-37.81524,144.95256,1,2,1,VIC,Optus Minicell - Lon_Spencer Corner Spencer and Lonsdale St MELBOURNE
15,-37.81239,144.9712,1,2,1,VIC,136 Exhibition St MELBOURNE
16,-37.81679,144.96918,1,2,1,VIC,Federation Square North -V 164A Flinders Street MELBOURNE
17,-37.81808,144.95692,1,2,1,VIC,KING ST (3144 REPLACEMENT) -V 530 Collins Street MELBOURNE
18,-37.811269,144.957909,1,2,1,VIC,Empire Apartments 402-408 La Trobe Street MELBOURNE
19,-37.809081,144.96893,1,2,1,VIC,CMTS Site 287-293 Exhibition St MELBOURNE
20,-37.81285,144.955026,1,2,1,VIC,CGU Bldg 485 La Trobe Street MELBOURNE
21,-37.816356,144.962313,1,2,1,VIC,360 Collins St Collins Wales Building MELBOURNE
22,-37.818071,144.957211,1,2,1,VIC,Stock Exchange Bldg 530 Collins Street MELBOURNE
23,-37.818202,144.954367,1,2,1,VIC,625 Lt Collins St MELBOURNE
24,-37.814225,144.971971,1,2,1,VIC,ANZ Bank Tower 55 Collins Street MELBOURNE
25,-37.815975,144.955905,1,2,1,VIC,Bourke Place 600 Bourke Street MELBOURNE
26,-37.815493,144.956714,1,2,1,VIC,Marland House 570 Bourke Street MELBOURNE
27,-37.81852,144.957141,1,2,1,VIC,Rialto Towers 525 Collins Street MELBOURNE
28,-37.817303,144.962344,1,2,1,VIC,367 Collins Street Optus Centre MELBOURNE
29,-37.818162,144.959934,1,2,1,VIC,Optus Site National Mutual Building 447 Collins St MELBOURNE
30,-37.813381,144.959612,1,2,1,VIC,CMTS Site 235 Queen St MELBOURNE
31,-37.812084,144.967997,1,2,1,VIC,CMTS Site 180 Russell St MELBOURNE
32,-37.818494,144.957705,1,2,1,VIC,Optus Site Rialto 525 Collins Street MELBOURNE
33,-37.812122,144.97071,1,2,1,VIC,Optus Site CBD123 Cnr Bourkr & Exhibition Streets MELBOURNE
34,-37.811625,144.964919,1,2,1,VIC,Optus Site Lonsdale/Swanston 253 Lonsdale St MELBOURNE
35,-37.814263,144.972105,1,2,1,VIC,Optus Site 101 Collins St (Pac Dun) 101 Collins St MELBOURNE
36,-37.815549,144.966686,1,2,1,VIC,Optus Site Collins & Swanston Cnr Collins & Swanston Sts MELBOURNE
37,-37.818166,144.964831,1,2,1,VIC,Optus Site Flinders/Elizabeth 1 Elizabeth St MELBOURNE
38,-37.817384,144.959217,1,2,1,VIC,Optus Site Melbourne City West 454 Collins St MELBOURNE
39,-37.814896,144.971668,1,2,1,VIC,Optus Site Collins PLace/ANZ Tower 55 Collins St MELBOURNE
40,-37.811126,144.962116,1,2,1,VIC,Optus Site Melbourne Central Tower 360 Elizabeth St MELBOURNE
41,-37.818656,144.956626,1,2,1,VIC,Optus Site Minicell - King & Collins 539-557 Collins St MELBOURNE
42,-37.817261,144.962515,1,2,1,VIC,Optus Site Bridge Information Systems 360 Collins St MELBOURNE
43,-37.812845,144.968248,1,2,1,VIC,Optus Site Bourke/Russell 175 Bourke St MELBOURNE
44,-37.811978,144.962388,1,2,1,VIC,Optus Site Lonsdale/Elizabeth Elizabeth & Lonsdale MELBOURNE
45,-37.812723,144.960164,1,2,1,VIC,Optus Site Queen St 250 Queen St MELBOURNE
46,-37.813463,144.973217,1,2,1,VIC,Optus Site Minicell - Spring & Collins 14-16 Collins St MELBOURNE
47,-37.810996,144.967095,1,2,1,VIC,Optus Site Minicell - Lonsdale & Russell 177-183 Lonsdale St MELBOURNE
48,-37.82091,144.955155,1,2,1,VIC,Optus Site Minicell - Flinders and Spencer 2 Spencer St MELBOURNE
49,-37.820123,144.957552,1,2,1,VIC,Optus Site Minicell - King & Flinders King & Flinders St MELBOURNE
50,-37.812899,144.959886,1,2,1,VIC,Optus Site Lonsdale/Queen 250 Queen St MELBOURNE
51,-37.811678,144.962783,1,2,1,VIC,Optus Site CBD North 360 Elizabeth St MELBOURNE
52,-37.819576,144.95985,1,2,1,VIC,Optus Site Flinders/William 1 William St MELBOURNE
53,-37.817069,144.961828,1,2,1,VIC,Optus Site Minicell - Collins & Queen 379 Collins St MELBOURNE
54,-37.818218,144.960705,1,2,1,VIC,Optus Sire Minicell - Market & Flinders 50 Market St MELBOURNE
55,-37.809885,144.963286,1,2,1,VIC,Optus Site Museum Station Cnr Latrobe and Elizabeth Sts MELBOURNE
56,-37.812799,144.954686,1,2,1,VIC,Optus Site CGU Centre 485 Latrobe Street MELBOURNE
57,-37.811928,144.956414,1,2,1,VIC,Optus Site Flagstaff Station 433 Latrobe Street MELBOURNE
58,-37.816011,144.972058,1,2,1,VIC,Optus Site Minicell-Flinders & Exhibition 82 Flinders Street MELBOURNE
59,-37.814431,144.954653,1,2,1,VIC,Optus Site Minicell - Lonsdale & King 600-610 Lonsdale St MELBOURNE
60,-37.810382,144.971223,1,2,1,VIC,Optus Site TAC Building 222 Exhibition Street MELBOURNE
61,-37.816467,144.958334,1,2,1,VIC,Optus Site BHP House 140 William Street MELBOURNE
62,-37.815777,144.970508,1,2,1,VIC,Optus Site BHP Petroleum Plaza 120 Collins Street MELBOURNE
63,-37.812578,144.965314,1,2,1,VIC,Optus Site Minicell - Little Bourke & Swa Ltl Bourke & Swanston St MELBOURNE
64,-37.81607,144.957254,1,2,1,VIC,Optus Site Minicell - Bourke & William 121 William St MELBOURNE
65,-37.814398,144.96632,1,2,1,VIC,Optus Site Minicell - Town Hall 134-142 Swanston Street MELBOURNE
66,-37.813963,144.957301,1,2,1,VIC,Optus Site Minicell - Lonsdale & William Lonsdale & William Streets MELBOURNE
67,-37.817779,144.955969,1,2,1,VIC,99 King Street MELBOURNE
68,-37.818018,144.964596,1,2,1,VIC,1 Elizabeth Street cnr Flinders St MELBOURNE
69,-37.812857,144.96843,1,2,1,VIC,Optus/Telstra Site cnr Russell & Bourke Sts MELBOURNE
70,-37.811627,144.965056,1,2,1,VIC,CMTS Site cnr Swanston & Lonsdale Sts MELBOURNE
71,-37.816122,144.964421,1,2,1,VIC,Optus/Telstra Site cnr Collins & Elizabeth Sts MELBOURNE
72,-37.813447,144.966028,1,2,1,VIC,Optus Site cnr Bourke & Swanston Sts MELBOURNE
73,-37.815488,144.966824,1,2,1,VIC,cnr Collins & Swanston Streets Westin Hotel MELBOURNE
74,-37.814765,144.969286,1,2,1,VIC,Telstra/Optus Site cnr Russell & Collins Sts MELBOURNE
75,-37.812088,144.970836,1,2,1,VIC,Optus/Telstra Site cnr Bourke & Exhibition Sts MELBOURNE
76,-37.816206,144.966634,1,2,1,VIC,Optus/Vodafone Site 55 Swanston Walk MELBOURNE
77,-37.819471,144.960069,1,2,1,VIC,Optus Site 1 William St MELBOURNE
78,-37.810219,144.9618,1,2,1,VIC,Optus/Telstra Site cnr Elizabeth & La Trobe Sts MELBOURNE
79,-37.809538,144.964091,1,2,1,VIC,Optus/Telstra Site cnr Swanston & La Trobe Sts MELBOURNE
80,-37.812653,144.956622,1,2,1,VIC,Nubrick House 271 William Street MELBOURNE
81,-37.811251,144.964157,1,2,1,VIC,Legacy House 283 Swanston Street MELBOURNE
82,-37.81354,144.971421,1,2,1,VIC,Level 6 / 161 Collins Street MELBOURNE
83,-37.809969,144.97078,1,2,1,VIC,Telstra/Vodafone Site 43 Lonsdale St MELBOURNE
84,-37.809264,144.971708,1,2,1,VIC,Casselden Place 2 Lonsdale St MELBOURNE
85,-37.812711,144.959971,1,2,1,VIC,Optus Site 250 Queen St MELBOURNE
86,-37.81653,144.961967,1,2,1,VIC,394 Collins St MELBOURNE
