Latitude,Longitude
-27.60052,-48.5183
-27.600533536884278,-48.51829453074374
-27.6005143485804,-48.5182938606734
-27.600527605422457,-48.51828877184852
-27.600527605422457,-48.51827857184852
-27.6005228105265,-48.51826288845052
-27.60051717819743,-48.51824653097916
-27.60049930789635,-48.518240377741044
-27.60050862831669,-48.51822927009662
-27.600524035549068,-48.51823645460707
-27.60051490796501,-48.518225576775976
-27.600522403296893,-48.518233072107854
-27.60052772271052,-48.51821990609712
-27.600527258547213,-48.51820661419912
-27.600525910130038,-48.518193784866675
-27.600521493816853,-48.518174057263316
-27.600521493816853,-48.518174057263316
-27.600521493816853,-48.518174057263316
-27.600511,-48.5181725
-27.6005021,-48.5181655
