Latitude,Longitude
-37.81315,144.95179
-37.8131715,144.9519009
-37.8131884,144.951976
-37.8132011,144.9520779
-37.8132181,144.9521584
-37.813235,144.9522657
-37.813252,144.9523462
-37.8132541,144.9524454
-37.8132478,144.95255
-37.8132562,144.9526519
-37.8132751,144.9527631
-37.8132859,144.9528745
-37.8133156,144.9529899
-37.8133622,144.9530864
-37.8133643,144.9531776
-37.8133855,144.9532702
-37.8134056,144.9533815
-37.8133993,144.9534807
-37.8133961,144.9535746
-37.8134046,144.9536819
-37.8133993,144.9537489
-37.8134067,144.9538294
-37.8134003,144.953922
-37.8134077,144.9540038
-37.8134321,144.9540789Latitude,Longitude
-37.81315,144.95179
-37.8131715,144.9519009
-37.8131884,144.951976
-37.8132011,144.9520779
-37.8132181,144.9521584
-37.813235,144.9522657
-37.813252,144.9523462
-37.8132541,144.9524454
-37.8132478,144.95255
-37.8132562,144.9526519
-37.8132751,144.9527631
-37.8132859,144.9528745
-37.8133156,144.9529899
-37.8133622,144.9530864
-37.8133643,144.9531776
-37.8133855,144.9532702
-37.8134056,144.9533815
-37.8133993,144.9534807
-37.8133961,144.9535746
-37.8134046,144.9536819
-37.8133993,144.9537489
-37.8134067,144.9538294
-37.8134003,144.953922
-37.8134077,144.9540038
-37.8134321,144.9540789Latitude,Longitude
-37.81315,144.95179
-37.8131715,144.9519009
-37.8131884,144.951976
-37.8132011,144.9520779
-37.8132181,144.9521584
-37.813235,144.9522657
-37.813252,144.9523462
-37.8132541,144.9524454
-37.8132478,144.95255
-37.8132562,144.9526519
-37.8132751,144.9527631
-37.8132859,144.9528745
-37.8133156,144.9529899
-37.8133622,144.9530864
-37.8133643,144.9531776
-37.8133855,144.9532702
-37.8134056,144.9533815
-37.8133993,144.9534807
-37.8133961,144.9535746
-37.8134046,144.9536819
-37.8133993,144.9537489
-37.8134067,144.9538294
-37.8134003,144.953922
-37.8134077,144.9540038
-37.8134321,144.9540789
