Latitude,Longitude
-37.81282,144.95362
-37.8128476,144.9536476
-37.8128688,144.9536771
-37.8128879,144.9536959
-37.8129175,144.9537174
-37.8129557,144.9537308
-37.8129938,144.9537576
-37.8130383,144.9537844
-37.8130659,144.9538032
-37.8131146,144.95383
-37.8132269,144.9539025
-37.8131612,144.9538622
-37.8132495,144.9539278
-37.8132707,144.95396
-37.8133236,144.9539841
-37.8133703,144.9540056
-37.8134105,144.954027
-37.8134529,144.9540378
-37.8135038,144.9540592
-37.8135419,144.954078
-37.81358,144.9541048
-37.8136076,144.954137
-37.8136394,144.9541504
-37.8136648,144.9541745
-37.8136881,144.9542014
-37.8137114,144.9542309
-37.8137284,144.9542523
-37.8137559,144.9542657
-37.8137898,144.9542979
-37.8138069,144.9543317
-37.8138449,144.9543435
-37.8138829,144.95437
-37.8139019,144.9543914
-37.8139125,144.9544236
-37.8139422,144.9544317
-37.8139782,144.9544397
-37.8140185,144.9544531
-37.8140587,144.9544665
-37.8140799,144.9544746
-37.8141032,144.9544907
-37.8141308,144.9545068
-37.8141795,144.9545229
-37.8142198,144.9545309
-37.8142473,144.9545497
-37.8142728,144.9545711
-37.8142982,144.9546087
-37.8143324,144.9546106
-37.8143697,144.9546449
-37.8144142,144.9546556
-37.8144608,144.9546825
-37.8144884,144.9546959
-37.8145307,144.9547254
-37.8145668,144.9547227
-37.8145622,144.954748
-37.8146049,144.954779
-37.8146536,144.9547924
-37.8146791,144.9548032
-37.8147172,144.9548193
-37.8147532,144.9548407
-37.8147956,144.9548568
-37.8148253,144.9548702
-37.8148634,144.9548917
-37.8148994,144.9548997
-37.814927,144.9549239
-37.8149524,144.9549507
-37.8149927,144.9549507
-37.8150372,144.9549695
-37.8150859,144.9550017
-37.8151219,144.9550124
-37.8151622,144.9550258
-37.8152088,144.9550419
-37.8152491,144.9550687
-37.8152851,144.9550875
-37.8153232,144.9551116
-37.8153571,144.9551384
-37.8154013,144.955145
-37.8154355,144.9551867
-37.8154737,144.9551706
-37.8155603,144.955197
-37.8155878,144.9552201
-37.8156621,144.9552399
-37.8157054,144.9552543
-37.8157432,144.9552905
-37.8157856,144.9553308
-37.8158344,144.9553576
-37.8158683,144.955379
-37.8159212,144.9553656
-37.8159721,144.9553898
-37.8159975,144.9554059
-37.8160463,144.95543
-37.8160886,144.9554434
-37.8161098,144.9554488
-37.8161458,144.9554568
-37.8161908,144.9554709
-37.816237,144.9554836
-37.8162709,144.9555051
-37.8163048,144.9555346
-37.816345,144.9555614
-37.8163789,144.955599
-37.8164213,144.9556204
-37.8163134,144.9559551
-37.8162708,144.9561683
-37.8162033,144.9563306
-37.8161651,144.956446
-37.8161354,144.9565747
-37.8161079,144.9566498
-37.8160825,144.9567303
-37.8160507,144.9568349
-37.8160295,144.9569341
-37.8160041,144.95702
-37.8159829,144.9570843
-37.8159617,144.9571514
-37.8159363,144.9572184
-37.8159193,144.957264
-37.8158897,144.9573633
-37.8158769,144.9574089
-37.8158536,144.957484
-37.8158409,144.9575484
-37.8158218,144.9576127
-37.8157985,144.9576905
-37.815771,144.9577763
-37.8157562,144.9578085
-37.8157434,144.9578809
-37.8157244,144.9579024
-37.8157201,144.9579292
-37.8157011,144.9580016
-37.815682,144.9580312
-37.815682,144.9580607
-37.8156888,144.9580914
-37.815674,144.9581424
-37.8156579,144.958202
-37.8156442,144.9582396
-37.8156368,144.9582946
-37.8156166,144.9583415
-37.8156156,144.9583831
-37.8155976,144.9584126
-37.8155901,144.9584568
-37.8155774,144.9585172
-37.8155647,144.9585494
-37.8155626,144.9585816
-37.8155446,144.9586298
-37.815534,144.9586674
-37.8155213,144.9587009
-37.8155128,144.9587291
-37.8155064,144.9587747
-37.815481,144.958823
-37.8154736,144.9588471
-37.8154662,144.9589061
-37.8154461,144.9589651
-37.8154291,144.9590214
-37.8154185,144.9590509
-37.8153973,144.9591046
-37.8153804,144.9591743
-37.8153729,144.9592092
-37.8153624,144.9592494
-37.8153518,144.9592749
-37.8153443,144.9593111
-37.8153337,144.9593339
-37.8153306,144.9593567
-37.8153242,144.9593768
-37.8153157,144.9594224
-37.8153051,144.9594385
-37.8153009,144.9594586
-37.8152998,144.9594975
-37.815284,144.9595284
-37.8152702,144.9595565
-37.8152744,144.959574
-37.8152606,144.9596142
-37.8152552,144.9596567
-37.8152425,144.9596915
-37.8152319,144.9597345
-37.8152213,144.959776
-37.8152139,144.9598096
-37.8152023,144.9598404
-37.8151948,144.959882
-37.81518,144.9599195
-37.8151715,144.9599544
-37.8151662,144.9599826
-37.8151503,144.9600375
-37.8151461,144.9600697
-37.8151387,144.9600912
-37.815127,144.9601167
-37.8151196,144.9601515
-37.8151101,144.9602146
-37.8150963,144.9602414
-37.8150815,144.9602991
-37.8150762,144.9603447
-37.8150592,144.9603795
-37.8150486,144.9604412
-37.8150211,144.9605123
-37.8150116,144.9605767
-37.8150054,144.9606074
-37.8149927,144.9606664
-37.8149715,144.9607013
-37.8149609,144.960771
-37.8149482,144.9607952
-37.8149228,144.960889
-37.8149058,144.9609346
-37.814891,144.9610097
-37.8148677,144.9610446
-37.8148677,144.961109
-37.814838,144.9611599
-37.8148359,144.9611948
-37.8148168,144.9612484
-37.814802,144.9613101
-37.8147829,144.9614174
-37.8147575,144.9614684
-37.8147511,144.9615462
-37.8147215,144.961624
-37.8146918,144.9617071
-37.8146706,144.9617876
-37.8146537,144.9618466
-37.8146367,144.9619512
-37.8146092,144.9620236
-37.8145816,144.9621041
-37.8145562,144.9621765
-37.8145329,144.962265
-37.8145138,144.962324
-37.814499,144.9623642
-37.8144863,144.9624152
-37.8144714,144.9624554
-37.8144545,144.9625305
-37.8144333,144.9625681
-37.8144354,144.9626217
-37.8144164,144.9626647
-37.8143994,144.9627263
-37.8143909,144.9628041
-37.8143655,144.9628417
-37.8143443,144.9628926
-37.8143295,144.9629516
-37.8143125,144.9629946
-37.8142998,144.9630375
-37.8143316,144.9630643
-37.8143846,144.9630911
-37.8144244,144.9631013
-37.8144731,144.9631174
-37.8145113,144.9631415
-37.8145409,144.9631603
-37.8145791,144.9631764
-37.8146215,144.9632059
-37.8146511,144.9632059
-37.8146744,144.9632193
-37.8147168,144.9632488
-37.8147592,144.9632729
-37.8147761,144.9632863
-37.8148122,144.9632997
-37.814863,144.9633266
-37.8149054,144.9633427
-37.814952,144.9633668
-37.8150135,144.9633963
-37.8150791,144.9634178
-37.81513,144.9634499
-37.8151809,144.9634687
-37.8152063,144.9634902
-37.8152593,144.9635116
-37.815308,144.9635304
