Latitude,Longitude
-37.81282,144.95362
-37.8128476,144.9536476
-37.8128688,144.9536771
-37.8128879,144.9536959
-37.8129175,144.9537174
-37.8129557,144.9537308
-37.8129938,144.9537576
-37.8130383,144.9537844
-37.8130659,144.9538032
-37.8131146,144.95383
-37.8132269,144.9539025
-37.8131612,144.9538622
-37.8132495,144.9539278
-37.8132707,144.95396
-37.8133236,144.9539841
-37.8133703,144.9540056
-37.8134105,144.954027
-37.8134529,144.9540378
-37.8135038,144.9540592
-37.8135419,144.954078
-37.81358,144.9541048
-37.8136076,144.954137
-37.8136648,144.9541745
-37.8136881,144.9542014
-37.8137114,144.9542309
-37.8137284,144.9542523
-37.8137559,144.9542657
-37.8137898,144.9542979
-37.8138449,144.9543435
-37.8138829,144.95437
-37.8139019,144.9543914
-37.8139125,144.9544236
-37.8139422,144.9544317
-37.8139782,144.9544397
-37.8140185,144.9544531
-37.8140587,144.9544665
-37.8140799,144.9544746
-37.8141032,144.9544907
-37.8141308,144.9545068
-37.8141795,144.9545229
-37.8142198,144.9545309
-37.8142473,144.9545497
-37.8142728,144.9545711
-37.8143324,144.9546106
-37.8143697,144.9546449
-37.8144142,144.9546556
-37.8144608,144.9546825
-37.8144884,144.9546959
-37.8145307,144.9547254
-37.8145622,144.954748
-37.8146049,144.954779
-37.8146536,144.9547924
-37.8146791,144.9548032
-37.8147532,144.9548407
-37.8147956,144.9548568
-37.8148253,144.9548702
-37.8148634,144.9548917
-37.8148994,144.9548997
-37.814927,144.9549239
-37.8149927,144.9549507
-37.8150372,144.9549695
-37.8150859,144.9550017
-37.8151219,144.9550124
-37.8151622,144.9550258
-37.8152088,144.9550419
-37.8152491,144.9550687
-37.8152851,144.9550875
-37.8153232,144.9551116
-37.8153571,144.9551384
-37.8154013,144.955145
-37.8154355,144.9551867
-37.8154737,144.9551706
-37.8155296,144.9551997
-37.8155878,144.9552201
-37.8156621,144.9552399
-37.8157054,144.9552543
-37.8157432,144.9552905
-37.8157856,144.9553308
-37.8158344,144.9553576
-37.8159212,144.9553656
-37.8159604,144.9553804
-37.8159975,144.9554059
-37.8160463,144.95543
-37.8161098,144.9554488
-37.8161458,144.9554568
-37.8161908,144.9554709
-37.816237,144.9554836
-37.8162709,144.9555051
-37.8163048,144.9555346
-37.816345,144.9555614
-37.8164276,144.955607
-37.8165138,144.955644
-37.8165974,144.9556653
-37.8166611,144.9556975
-37.8167416,144.9557204
-37.8168144,144.9557639
-37.8168716,144.9558002
-37.8169553,144.9558538
-37.8170103,144.9558739
-37.8170753,144.9559088
-37.817124,144.9559329
-37.8171887,144.9559718
-37.8172724,144.9560066
-37.817355,144.9560429
-37.8174154,144.9560737
-37.8174966,144.9561071
-37.8176046,144.9561406
-37.8176749,144.9561749
-37.8177395,144.9562058
-37.8178059,144.9562358
-37.8178811,144.9562787
-37.8179564,144.9563149
-37.818051,144.9563547
-37.8181343,144.9563941
-37.8182191,144.9564344
-37.8183018,144.9564813
-37.8183802,144.9565094
-37.8184723,144.9565511
-37.8185401,144.9565912
-37.8186302,144.9566274
-37.8187096,144.9566583
-37.8187711,144.9566958
-37.8188368,144.9567254
-37.8189194,144.9567656
-37.8190274,144.9568045
-37.8191165,144.9568434
-37.8191843,144.9568729
-37.8192542,144.956897
-37.8193071,144.9569319
-37.8193696,144.9569627
-37.8194364,144.9569989
-37.8194978,144.9570177
-37.8195487,144.9570419
-37.8196229,144.9570794
-37.8197098,144.957129
-37.8197818,144.9571545
-37.819839,144.957184
-37.8199152,144.9572149
-37.8199841,144.9572564
-37.8200469,144.9572907
-37.820124,144.9573248
-37.8202002,144.9573516
-37.8202564,144.9573744
