Latitude,Longitude
-37.81282,144.95362
-37.81282,144.95362
-37.8144096,144.9741808
-37.8128128,144.9538877
-37.8128128,144.9538877
-37.8128043,144.9539467
-37.8128,144.9540057
-37.8128085,144.9540487
-37.8128212,144.9541774
-37.8128212,144.9543222
-37.8128297,144.9543973
-37.8128297,144.9544778
-37.8128551,144.9546227
-37.8128551,144.9546227
-37.8128636,144.9547514
-37.8128636,144.9547514
-37.8128678,144.954907
-37.8128763,144.9550357
-37.8128806,144.9551484
-37.8128933,144.9552986
-37.8129017,144.9554273
-37.8129017,144.9555292
-37.8129272,144.9555936
-37.8129441,144.9557224
-37.8129441,144.9558457
-37.8129611,144.9560174
-37.8129568,144.9561032
-37.8129738,144.9562373
-37.8129992,144.956409
-37.8129738,144.956468
-37.8129865,144.9565324
-37.8129865,144.9565646
-37.8129971,144.9566263
-37.8129992,144.9567282
-37.8129971,144.9567979
-37.8130077,144.9568703
-37.813014,144.9569696
-37.8130098,144.9571815
-37.8130225,144.9572512
-37.8130077,144.9572914
-37.8130225,144.95738
-37.8130141,144.9574819
-37.8130352,144.9576026
-37.8130268,144.9576643
-37.8130437,144.9577582
-37.8130522,144.9578735
-37.8130501,144.9579432
-37.8130819,144.9580532
-37.8130755,144.9581229
-37.8130882,144.9582061
-37.8131264,144.9583509
-37.813137,144.9584395
-37.8131518,144.9585735
-37.8131581,144.9587345
-37.8131433,144.9589008
-37.8131793,144.9589947
-37.8131687,144.9591609
-37.8131963,144.9592816
-37.8132005,144.9595418
-37.8132088,144.959601
-37.8132151,144.9597002
-37.8132215,144.9598129
-37.8132278,144.9599443
-37.8132406,144.9600865
-37.8132511,144.960234
-37.8132511,144.9604057
-37.8132575,144.9604754
-37.8132533,144.9605505
-37.8132723,144.9606068
-37.8132639,144.9607114
-37.8132808,144.9607651
-37.8132723,144.9608509
-37.8132893,144.9609394
-37.8132787,144.9610387
-37.813302,144.9610843
-37.813302,144.9611808
-37.8133105,144.9612479
-37.8133126,144.9612961
-37.8133317,144.9614088
-37.8133401,144.9614919
-37.8133423,144.9615644
-37.8133529,144.9616609
-37.8133529,144.9617548
-37.8133677,144.9618353
-37.8133677,144.9619372
-37.8133719,144.9620472
-37.8133804,144.9620794
-37.8133825,144.9622027
-37.8133889,144.9623234
-37.8133931,144.9623905
-37.8134079,144.9624951
-37.813427,144.9625621
-37.813444,144.962656
-37.8134567,144.9627687
-37.8134588,144.9628867
-37.81348,144.9630154
-37.8135075,144.9630879
-37.8135203,144.9632059
-37.8135287,144.9633158
-37.8135351,144.9634151
-37.8135457,144.9635277
-37.8135436,144.9636565
-37.8135542,144.9637101
-37.8135669,144.9637665
-37.8135732,144.9639328
-37.8135817,144.9639971
-37.8135859,144.9640803
-37.8135965,144.9641607
-37.8136008,144.9642573
-37.8136114,144.96437
-37.8136156,144.964488
-37.8136177,144.9645979
-37.8136368,144.9647186
