Latitude,Longitude
-27.6004,-48.51828
-27.600408241763546,-48.51826513146498
-27.600416234132513,-48.51825526171127
-27.60041033645119,-48.51824201530213
-27.60042780526346,-48.518239870401686
-27.600438623632716,-48.51824276917499
-27.60042927789051,-48.51823492716615
-27.60042350946407,-48.51822532689238
-27.600433471411048,-48.5182261984498
-27.600441759183106,-48.51821479131018
-27.600442654127956,-48.518197714745135
-27.600449853366538,-48.51821388449974
-27.60046474428986,-48.518213364497235
-27.600458615418113,-48.51820133590916
-27.600463405471647,-48.51818212405378
-27.600473367638106,-48.5181734640746
-27.60047579091235,-48.51818593073983
-27.60046240713961,-48.51817345016984
-27.60046240713961,-48.51817345016984
-27.60046240713961,-48.51817345016984
