Latitude,Longitude
-27.6004,-48.51828
-27.6004,-48.51828
-27.600413365097864,-48.51828680985749
-27.600415480528998,-48.51827175778285
-27.60042711179552,-48.51826842257084
-27.60041395674093,-48.518262565563184
-27.600403367363555,-48.518249011778224
-27.600408836619817,-48.5182625486625
-27.600408836619817,-48.5182625486625
-27.600424121830553,-48.51826442545039
-27.600418260863627,-48.51825061787759
-27.60041865522794,-48.51823932476125
-27.60042985819306,-48.518243625176645
-27.600430125214878,-48.51822832750691
-27.600437243106132,-48.5182123404614
-27.600420831951904,-48.5182057099247
-27.600420831951904,-48.5182057099247
-27.600424431168776,-48.518221299845735
-27.600429151046754,-48.5182342676039
-27.60044751315056,-48.518236522186754
