Latitude,Longitude
-27.60052,-48.5183
-27.6005081,-48.5183
-27.600523701056495,-48.51829462812545
-27.600536284173142,-48.5182884909294
-27.60054240270963,-48.518269660010375
-27.60055238288939,-48.51826317880586
-27.600556021302488,-48.51827586746025
-27.600556997446805,-48.51826471007963
-27.600567551253235,-48.518279782477244
-27.600580550647038,-48.5182713405722
-27.600580550647038,-48.5182713405722
-27.60058931975598,-48.518279236313354
-27.600597891428986,-48.518284386694106
-27.600579436494055,-48.51828309619934
-27.60057908051919,-48.5182729024129
-27.6005913131385,-48.5182716167128
-27.600576504104097,-48.518263066712805
-27.60057248820063,-48.51824695980375
-27.60057248820063,-48.51824695980375
-27.60057248820063,-48.51824695980375
