Latitude,Longitude
-27.60052,-48.5183
-27.600512037345784,-48.51829115657658
-27.6005218938441,-48.518306930271166
-27.600538653009213,-48.5183107994293
-27.60052489125487,-48.51830116334517
-27.600536831529197,-48.51831489905953
-27.600551146391226,-48.51830107535796
-27.600534387315182,-48.518299903449204
-27.600523287315184,-48.518299903449204
-27.600535825171004,-48.51829323695301
-27.600550305974295,-48.51830674052054
-27.600561238720633,-48.51830068040029
-27.60056987079824,-48.51829234449984
-27.60056987079824,-48.51829234449984
-27.600572220200345,-48.518281291431954
-27.60058750541108,-48.518283168219845
-27.60058476780794,-48.518265883673884
-27.60058476780794,-48.518265883673884
-27.600590331960216,-48.51827478817889
-27.600576994747197,-48.51826473786801
